file,symbol,duplicate_of,referenced_by,type,severity,category
services\feeds\main.py,circular import shared.core.config.central_config,circular dependency,import chain,circular,high,backend
shared\core\agents\factcheck_agent.py,circular import shared.core.llm_client_v3,circular dependency,import chain,circular,high,backend
shared\core\agents\synthesis_agent.py,circular import shared.core.llm_client_v3,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import shared.core.llm_client_v3,circular dependency,import chain,circular,high,backend
shared\core\agents\base_agent.py,circular import aioredis,circular dependency,import chain,circular,high,backend
shared\core\base_agent.py,circular import aioredis,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import aioredis,circular dependency,import chain,circular,high,backend
shared\core\vector_database.py,circular import pinecone,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import pinecone,circular dependency,import chain,circular,high,backend
shared\core\services\analytics_dashboard_service.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\performance_optimizer.py,circular import psutil,circular dependency,import chain,circular,high,backend
services\gateway\routes.py,circular import psutil,circular dependency,import chain,circular,high,backend
services\analytics\metrics.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\api\monitoring.py,circular import psutil,circular dependency,import chain,circular,high,backend
services\analytics\monitoring.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\system_health.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\metrics_tracer.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\performance.py,circular import psutil,circular dependency,import chain,circular,high,backend
services\monitoring\health.py,circular import psutil,circular dependency,import chain,circular,high,backend
shared\core\unified_logging.py,circular import contextlib,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\error_handler.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\services\arangodb_service.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\logging_config.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\memory_manager_postgres.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\metrics_tracer.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\cache_manager_postgres.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\database.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\app_factory.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\sla_budget_enforcer.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\database\connection.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\vectorstores\connection_manager.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\performance.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\cache.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\database\repository.py,circular import contextlib,circular dependency,import chain,circular,high,backend
services\analytics\monitoring.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\connection_pool.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\graceful_degradation.py,circular import contextlib,circular dependency,import chain,circular,high,backend
services\gateway\gateway_app.py,circular import contextlib,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import contextlib,circular dependency,import chain,circular,high,backend
shared\core\middleware\rate_limiter.py,circular import contextlib,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\retrieval\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\security\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\analytics\monitoring.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\cicd\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\auto_upgrade\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\knowledge_graph\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\model_registry\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\feeds\main.py,circular import opentelemetry,circular dependency,import chain,circular,high,backend
services\synthesis\main.py,circular import __future__,circular dependency,import chain,circular,high,backend
shared\contracts\query.py,circular import __future__,circular dependency,import chain,circular,high,backend
services\search\main.py,circular import __future__,circular dependency,import chain,circular,high,backend
shared\vectorstores\vector_store_service.py,circular import __future__,circular dependency,import chain,circular,high,backend
shared\clients\microservices.py,circular import __future__,circular dependency,import chain,circular,high,backend
shared\embeddings\local_embedder.py,circular import __future__,circular dependency,import chain,circular,high,backend
services\retrieval\wiki.py,circular import __future__,circular dependency,import chain,circular,high,backend
services\auth\main.py,circular import __future__,circular dependency,import chain,circular,high,backend
services\fact_check\main.py,circular import __future__,circular dependency,import chain,circular,high,backend
services\auth\main.py,circular import shared.core.app_factory,circular dependency,import chain,circular,high,backend
services\fact_check\main.py,circular import shared.core.app_factory,circular dependency,import chain,circular,high,backend
services\synthesis\main.py,circular import shared.core.app_factory,circular dependency,import chain,circular,high,backend
services\search\main.py,circular import shared.core.app_factory,circular dependency,import chain,circular,high,backend
services\auth\main.py,circular import services.auth.routes,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import services.auth.routes,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\gateway\gateway_app.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\retrieval\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\security\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\synthesis\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\search\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
shared\core\app_factory.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\cicd\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\auto_upgrade\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\auth\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\fact_check\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\knowledge_graph\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\model_registry\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\feeds\main.py,circular import uvicorn,circular dependency,import chain,circular,high,backend
services\gateway\routes.py,circular import shared.core.api.api_models,circular dependency,import chain,circular,high,backend
shared\clients\microservices.py,circular import shared.core.api.api_models,circular dependency,import chain,circular,high,backend
services\auth\routes.py,circular import shared.core.api.api_models,circular dependency,import chain,circular,high,backend
services\search\main.py,circular import shared.core.api.api_models,circular dependency,import chain,circular,high,backend
services\gateway\routers\health_router.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
shared\core\memory_manager.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
shared\core\secure_auth.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
shared\core\socket_io_manager.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
shared\core\memory_manager_postgres.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
services\auth\routes.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
shared\core\cache_manager_postgres.py,circular import shared.core.database,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\retrieval\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\security\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\cicd\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\auto_upgrade\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\knowledge_graph\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\model_registry\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\feeds\main.py,circular import opentelemetry.exporter.jaeger.thrift,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\retrieval\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\security\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\cicd\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\auto_upgrade\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\knowledge_graph\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\model_registry\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\feeds\main.py,circular import opentelemetry.sdk.trace,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\retrieval\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\security\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\cicd\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\auto_upgrade\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\knowledge_graph\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\model_registry\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\feeds\main.py,circular import opentelemetry.sdk.trace.export,circular dependency,import chain,circular,high,backend
services\guided_prompt\main.py,circular import opentelemetry.instrumentation.fastapi,circular dependency,import chain,circular,high,backend
services\observability\main.py,circular import opentelemetry.instrumentation.fastapi,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import opentelemetry.instrumentation.fastapi,circular dependency,import chain,circular,high,backend
services\model_router\main.py,circular import opentelemetry.instrumentation.fastapi,circular dependency,import chain,circular,high,backend
